Model,Actual_PM2.5,Predicted_PM2.5,RMSE,MAE,R²
Gradient Boosting,330.78,352.5685156,,,
Gradient Boosting,2.2,0.9889416228,,,
Gradient Boosting,3.8,3.563054224,,,
Gradient Boosting,138.8,117.5431023,,,
Gradient Boosting,24.7,23.88243992,,,
Gradient Boosting,2.3,2.03966433,,,
Gradient Boosting,25.345,32.9584024,,,
Gradient Boosting,103.6,97.9064723,,,
Gradient Boosting,29.23,34.40693838,,,
Gradient Boosting,38.295,39.5639654,,,
Gradient Boosting,8.14,7.765633171,,,
Gradient Boosting,5.55,5.361243259,,,
Gradient Boosting,2.8,2.356993903,,,
Gradient Boosting,0.8,1.60223026,,,
Gradient Boosting,10.915,12.18542292,,,
Gradient Boosting,68.45,59.9289069,,,
Gradient Boosting,4.6,6.031701715,,,
Gradient Boosting,25.3,29.87488807,,,
Gradient Boosting,1.48,-11.98629624,,,
Gradient Boosting,9.065,11.5398195,,,
Gradient Boosting,30.895,31.85368536,,,
Gradient Boosting,0.5,-0.5126351411,,,
Gradient Boosting,6.4,5.228415398,,,
Gradient Boosting,10.5,10.24596063,,,
Gradient Boosting,14.06,15.23779546,,,
Gradient Boosting,1.7,1.07695524,,,
Gradient Boosting,279.9,291.6811603,,,
Gradient Boosting,8.695,4.975103383,,,
Gradient Boosting,6.7,9.727176295,,,
Gradient Boosting,5.92,6.272354115,,,
Gradient Boosting,14.5,12.86675666,,,
Gradient Boosting,83.1,73.95757892,,,
Gradient Boosting,15.4,11.7786807,,,
Gradient Boosting,25.8,24.38552398,,,
Gradient Boosting,8.325,7.407427107,,,
Gradient Boosting,1.1,0.007663063823,,,
Gradient Boosting,8.3,7.388214807,,,
Gradient Boosting,18.5,19.20930996,,,
Gradient Boosting,13.32,14.26837681,,,
Gradient Boosting,31.4,27.97061884,,,
Gradient Boosting,14.601,11.49356445,,,
Gradient Boosting,9.99,11.937659,,,
Gradient Boosting,1.1,1.267709396,,,
Gradient Boosting,41.255,29.19177215,,,
Gradient Boosting,11.561,13.95724781,,,
Gradient Boosting,80.845,73.25273786,,,
Gradient Boosting,11.7,12.08527408,,,
Gradient Boosting,5.92,6.590391403,,,
Gradient Boosting,1.3,0.7146866098,,,
Gradient Boosting,32.19,28.24825903,,,
Gradient Boosting,25.2,24.50143539,,,
Gradient Boosting,5.735,4.40325256,,,
Gradient Boosting,6.845,5.551338252,,,
Gradient Boosting,33.485,36.9284787,,,
Gradient Boosting,28.86,33.11639645,,,
Gradient Boosting,54.945,50.7973877,,,
Gradient Boosting,17.9,18.72951836,,,
Gradient Boosting,112.11,111.2903154,,,
Gradient Boosting,20.35,21.8351111,,,
Gradient Boosting,1.5,1.694241505,,,
Gradient Boosting,25.345,24.77933749,,,
Gradient Boosting,5.2,3.364222657,,,
Gradient Boosting,1.7,3.167655327,,,
Gradient Boosting,65.2,61.15063235,,,
Gradient Boosting,2.9,2.913496216,,,
Gradient Boosting,19.6,17.14336637,,,
Gradient Boosting,13.32,12.58038217,,,
Gradient Boosting,28.49,27.28702913,,,
Gradient Boosting,7.215,8.537701176,,,
Gradient Boosting,4.6,9.09304358,,,
Gradient Boosting,30.71,26.82264669,,,
Gradient Boosting,0.7,1.996487804,,,
Gradient Boosting,2.8,3.346304951,,,
Gradient Boosting,2.1,2.199236688,,,
Gradient Boosting,37.6,34.54530572,,,
Gradient Boosting,2.405,1.050353088,,,
Gradient Boosting,36.445,36.81244032,,,
Gradient Boosting,117.1,111.0072998,,,
Gradient Boosting,45.51,38.31977542,,,
Gradient Boosting,37.925,43.00985002,,,
Gradient Boosting,19.6,24.29533795,,,
Gradient Boosting,19.8,18.74262134,,,
Gradient Boosting,4.6,2.934233286,,,
Gradient Boosting,60.31,57.93286653,,,
Gradient Boosting,5.1,3.440204739,,,
Gradient Boosting,1.3,0.4032837571,,,
Gradient Boosting,1.9,2.851635631,,,
Gradient Boosting,2.7,1.570218033,,,
Gradient Boosting,30.3,26.43790986,,,
Gradient Boosting,23.68,21.9216143,,,
Gradient Boosting,7.955,8.184246383,,,
Gradient Boosting,8.2,8.365470803,,,
Gradient Boosting,28.86,23.86321129,,,
Gradient Boosting,27.935,26.78729573,,,
Gradient Boosting,0.7,0.8518629193,,,
Gradient Boosting,19.055,16.79590529,,,
Gradient Boosting,1.6,1.505743153,,,
Gradient Boosting,17.76,16.10845174,,,
Gradient Boosting,19.24,16.10846319,,,
Gradient Boosting,13.505,13.02291364,,,
Gradient Boosting,38.48,44.46205364,,,
Gradient Boosting,1.1,1.352110106,,,
Gradient Boosting,54.205,48.73418706,,,
Gradient Boosting,14.43,14.25149374,,,
Gradient Boosting,31.82,33.35704605,,,
Gradient Boosting,6.66,8.111247818,,,
Gradient Boosting,15.4,20.95917365,,,
Gradient Boosting,0.6,1.628505834,,,
Gradient Boosting,13.505,12.76022782,,,
Gradient Boosting,2.4,2.248981928,,,
Gradient Boosting,1,1.495291286,,,
Gradient Boosting,27.75,27.02606748,,,
Gradient Boosting,9.7,8.826709543,,,
Gradient Boosting,36.26,39.65057084,,,
Gradient Boosting,1.2,2.871287961,,,
Gradient Boosting,14.245,15.89873657,,,
Gradient Boosting,33.115,42.2961256,,,
Gradient Boosting,9.1,8.33727453,,,
Gradient Boosting,24.05,23.86720737,,,
Gradient Boosting,2.8,4.794799366,,,
Gradient Boosting,2.96,1.361394746,,,
Gradient Boosting,13.8,14.74192897,,,
Gradient Boosting,65.49,55.34255922,,,
Gradient Boosting,6.291,6.120304104,,,
Gradient Boosting,7.955,9.666460444,,,
Gradient Boosting,49.025,46.80296869,,,
Gradient Boosting,8.51,13.21635819,,,
Gradient Boosting,0.9,0.7504677734,,,
Gradient Boosting,26.825,34.10150334,,,
Gradient Boosting,16.835,14.62089914,,,
Gradient Boosting,26.27,31.40212035,,,
Gradient Boosting,13.32,15.30261796,,,
Gradient Boosting,6.3,5.97786749,,,
Gradient Boosting,15.3,15.62809486,,,
Gradient Boosting,12.8,13.63965643,,,
Gradient Boosting,42.18,38.26094052,,,
Gradient Boosting,8.5,10.71734411,,,
Gradient Boosting,71.9,71.62177139,,,
Gradient Boosting,17.205,14.94830197,,,
Gradient Boosting,13.6,13.04549405,,,
Gradient Boosting,11.47,13.27852945,,,
Gradient Boosting,17.575,14.25624727,,,
Gradient Boosting,10.36,10.68658858,,,
Gradient Boosting,56.425,59.62951342,,,
Gradient Boosting,42.735,49.02601767,,,
Gradient Boosting,1.8,2.673709298,,,
Gradient Boosting,6.7,4.429246052,,,
Gradient Boosting,63.27,52.46026165,,,
Gradient Boosting,13.875,15.21159769,,,
Gradient Boosting,28.49,25.54732841,,,
Gradient Boosting,2.2,3.456984257,,,
Gradient Boosting,17.9,16.81136282,,,
Gradient Boosting,16.465,18.27939581,,,
Gradient Boosting,7.955,8.510352495,,,
Gradient Boosting,7.6,5.867501606,,,
Gradient Boosting,25.16,24.58375602,,,
Gradient Boosting,1.5,1.937752922,,,
Gradient Boosting,9.25,8.836285373,,,
Gradient Boosting,12.395,13.19465699,,,
Gradient Boosting,12.025,10.62890944,,,
Gradient Boosting,67.71,77.76125569,,,
Gradient Boosting,7.77,8.191832689,,,
Gradient Boosting,8.695,8.844746202,,,
Gradient Boosting,3.2,3.680694143,,,
Gradient Boosting,10.5,12.2534691,,,
Gradient Boosting,10.36,10.01573437,,,
Gradient Boosting,34.41,24.94016108,,,
Gradient Boosting,18.13,17.4359704,,,
Gradient Boosting,23.5,21.16671678,,,
Gradient Boosting,2.8,2.208355636,,,
Gradient Boosting,5.2,3.955483514,,,
Gradient Boosting,4.2,4.295769058,,,
Gradient Boosting,8.325,10.83998706,,,
Gradient Boosting,14.245,14.28772511,,,
Gradient Boosting,1.5,1.340186284,,,
Gradient Boosting,20.535,18.92475771,,,
Gradient Boosting,17.02,16.3696834,,,
Gradient Boosting,11.1,10.52623217,,,
Gradient Boosting,9.25,9.232630367,,,
Gradient Boosting,4.1,5.965361483,,,
Gradient Boosting,5.365,5.501611891,,,
Gradient Boosting,1.7,1.980910043,,,
Gradient Boosting,1.3,0.6353370001,,,
Gradient Boosting,42.3,29.02647742,,,
Gradient Boosting,17,16.78933592,,,
Gradient Boosting,16.835,13.8876327,,,
Gradient Boosting,3.4,4.184378397,,,
Gradient Boosting,14.06,13.90849928,,,
Gradient Boosting,0.5,-0.7800428676,,,
Gradient Boosting,12,12.16183332,,,
Gradient Boosting,7.6,7.29268741,,,
Gradient Boosting,14.403,13.69571813,,,
Gradient Boosting,183.4,165.6057165,,,
Gradient Boosting,26.085,28.73327039,,,
Gradient Boosting,5.3,7.124361154,,,
Gradient Boosting,27.195,26.16607989,,,
Gradient Boosting,6.2,8.218862904,,,
